İL,İLÇE,MEVKİ,ADA,PARSEL,M2 NET,FİYAT,SATIŞ DURUMU
Balıkesir,Ayvalık,Çamoba,104/1,1.,346,2595000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,2.,327,2452500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,3.,274,2055000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,4.,217,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,5.,252,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,6.,192,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,7.,296,2220000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,8.,170,2040000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,9.,240,1800000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,10.,177,1327500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,11.,213,1597500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,12.,175,1312500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,13.,176,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,14.,246,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,15.,165,1980000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,16.,166,1992000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,17.,145,1740000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,18.,186,2232000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,19.,139,1668000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,20.,216,1620000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,21.,239,1792500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,22.,218,1635000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,23.,163,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,24.,184,1380000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,25.,187,1402500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,26.,158,1185000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,27.,211,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,28.,327,2452500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,29.,220,1650000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,30.,255,1912500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,31.,164,1968000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,32.,237,1777500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,33.,191,2292000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,34.,239,1792500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,35.,185,2220000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,36.,271,2032500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,37.,168,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,38.,243,1822500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,39.,155,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,40.,229,1717500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,41.,235,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,42.,193,1447500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,43.,210,1575000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,44.,189,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,45.,186,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,46.,200,1500000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,47.,188,1410000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,48.,253,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,49.,197,1477500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,50.,163,1222500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,51.,167,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,52.,183,1372500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,53.,173,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,54.,173,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,55.,160,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,56.,169,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,57.,202,,Satıldı
Balıkesir,Ayvalık,Çamoba,104/1,58.,272,2040000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,59.,237,1777500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,60.,217,1627500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,61.,235,1762500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,62.,226,1695000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,63.,226,1695000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,64.,194,1455000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,65.,230,1725000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,66.,303,2272500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,67.,272,2040000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,68.,208,1560000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,69.,229,1717500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,70.,248,1860000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,71.,287,2152500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,72.,289,2167500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,73.,303,2272500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,74.,303,2272500,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,75.,286,2145000,Satışa Açık
Balıkesir,Ayvalık,Çamoba,104/1,76.,325,2437500,Satışa Açık
