İL,İLÇE,MEVKİ,ADA,PARSEL,M2 NET,FİYAT,SATIŞ DURUMU
BURSA,İZNİK,ELBEYLİ,1145,287,368,,Satıldı
BURSA,İZNİK,ELBEYLİ,1145,288,398,2786000,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1145,289,442,,Satıldı
BURSA,İZNİK,ELBEYLİ,1394,7,306,,Satıldı
BURSA,İZNİK,ELBEYLİ,1394,8,360,2736000,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1394,9,360,2736000,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1394,10,269,,Satıldı
BURSA,İZNİK,ELBEYLİ,1394,11,339,2576400,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1394,12,377,2865200,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1395,3,397,3017200,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1395,4,346,,Satıldı
BURSA,İZNİK,ELBEYLİ,1395,5,240,,Satıldı
BURSA,İZNİK,ELBEYLİ,1395,6,216,,Satıldı
BURSA,İZNİK,ELBEYLİ,1395,7,216,,Satıldı
BURSA,İZNİK,ELBEYLİ,1395,8,216,,Satıldı
BURSA,İZNİK,ELBEYLİ,1395,9,216,,Satıldı
BURSA,İZNİK,ELBEYLİ,1395,10,261,,Satıldı
BURSA,İZNİK,ELBEYLİ,1395,11,544,4134400,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1395,12,445,3382000,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1395,13,320,,Satıldı
BURSA,İZNİK,ELBEYLİ,1395,14,418,,Satıldı
BURSA,İZNİK,ELBEYLİ,1396,8,420,3192000,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1396,9,419,3184400,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1396,10,479,3640400,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1397,3,272,,Satıldı
BURSA,İZNİK,ELBEYLİ,1397,4,244,,Satıldı
BURSA,İZNİK,ELBEYLİ,1397,5,272,,Satıldı
BURSA,İZNİK,ELBEYLİ,1397,6,381,,Satıldı
BURSA,İZNİK,ELBEYLİ,1398,4,324,2656800,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1398,5,288,,Satıldı
BURSA,İZNİK,ELBEYLİ,1398,6,291,,Satıldı
BURSA,İZNİK,ELBEYLİ,1398,7,294,,Satıldı
BURSA,İZNİK,ELBEYLİ,1398,8,295,,Satıldı
BURSA,İZNİK,ELBEYLİ,1398,9,410,,Satıldı
BURSA,İZNİK,ELBEYLİ,1398,10,391,,Satıldı
BURSA,İZNİK,ELBEYLİ,1398,11,302,,Satıldı
BURSA,İZNİK,ELBEYLİ,1398,12,349,,Satıldı
BURSA,İZNİK,ELBEYLİ,1398,13,302,2476400,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1398,14,318,2607600,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1398,15,302,,satıldı
BURSA,İZNİK,ELBEYLİ,1398,16,298,,Satıldı
BURSA,İZNİK,ELBEYLİ,1398,17,304,,Satıldı
BURSA,İZNİK,ELBEYLİ,1398,18,290,2378000,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1398,19,303,,Satıldı
BURSA,İZNİK,ELBEYLİ,1398,20,341,2796200,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1398,21,453,3714600,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1398,22,922,7560400,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1402,3,714,3748500,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1402,4,330,,Satıldı
BURSA,İZNİK,ELBEYLİ,1402,5,503,,Satıldı
BURSA,İZNİK,ELBEYLİ,1403,4,320,,Satıldı
BURSA,İZNİK,ELBEYLİ,1403,5,388,,Satıldı
BURSA,İZNİK,ELBEYLİ,1403,6,331,,Satıldı
BURSA,İZNİK,ELBEYLİ,1403,7,404,,Satıldı
BURSA,İZNİK,ELBEYLİ,1403,8,349,,Satıldı
BURSA,İZNİK,ELBEYLİ,1403,9,293,,Satıldı
BURSA,İZNİK,ELBEYLİ,1403,10,302,,Satıldı
BURSA,İZNİK,ELBEYLİ,1403,11,300,,Satıldı
BURSA,İZNİK,ELBEYLİ,1403,12,304,,Satıldı
BURSA,İZNİK,ELBEYLİ,1403,13,349,,Satıldı
BURSA,İZNİK,ELBEYLİ,1403,14,385,2021250,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1403,15,351,,Satıldı
BURSA,İZNİK,ELBEYLİ,1403,16,357,,Satıldı
BURSA,İZNİK,ELBEYLİ,1403,17,300,1800000,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1403,18,361,,Satıldı
BURSA,İZNİK,ELBEYLİ,1408,4,403,,Satıldı
BURSA,İZNİK,ELBEYLİ,1408,5,352,,Satıldı
BURSA,İZNİK,ELBEYLİ,1408,6,350,,Satıldı
BURSA,İZNİK,ELBEYLİ,1409,3,394,2994400,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1409,4,396,3009600,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1409,5,408,3100800,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1409,6,227,,Satıldı
BURSA,İZNİK,ELBEYLİ,1409,7,225,,Satıldı
BURSA,İZNİK,ELBEYLİ,1409,8,264,,Satıldı
BURSA,İZNİK,ELBEYLİ,1409,9,408,3100800,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1409,10,409,3108400,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1409,11,332,2523200,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1409,12,338,2568800,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1409,13,271,,Satıldı
BURSA,İZNİK,ELBEYLİ,1411,6,394,,Satıldı
BURSA,İZNİK,ELBEYLİ,1411,7,334,,Satıldı
BURSA,İZNİK,ELBEYLİ,1411,8,337,,Satıldı
BURSA,İZNİK,ELBEYLİ,1411,9,408,3060000,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1411,10,419,3142500,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1411,11,420,3150000,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1411,12,414,,Satıldı
BURSA,İZNİK,ELBEYLİ,1411,13,292,,Satıldı
BURSA,İZNİK,ELBEYLİ,1411,14,304,2280000,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1411,15,321,,Satıldı
BURSA,İZNİK,ELBEYLİ,1411,16,369,2767500,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1411,17,323,2422500,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1411,18,320,2400000,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1411,19,317,2377500,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1411,20,319,2392500,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1411,21,317,2377500,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1411,22,338,2535000,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1411,23,345,2587500,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1411,24,314,,Satıldı
BURSA,İZNİK,ELBEYLİ,1411,25,391,2932500,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1411,26,410,,Satıldı
BURSA,İZNİK,ELBEYLİ,1411,27,348,2610000,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1411,28,310,,Satıldı
BURSA,İZNİK,ELBEYLİ,1411,29,220,,Satıldı
